input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.0,"['y_lead_1', 'y_lead_2']",0.999999999999639,0,2,42,0.2671992480754852,914.5700073242188,26.943886999972165,6066683.5,540.7929077148438,inf,0.352677047252655,29163876.0,0.2039732187986374,684.0770263671875,2734.2739460000303
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.0,[],0.0,0,0,42,0.5508381724357605,557.8316040039062,28.013569915900007,4970396.0,431.468017578125,inf,0.292990118265152,23268204.0,0.1629601418972015,586.477783203125,2698.050863249926
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,3,1H,24,0.2357142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9725757776063404,0,3,42,1.5400875806808472,701.3358764648438,27.856441874988377,3997118.0,325.8001708984375,inf,0.1817317306995391,313745.5625,0.1350635141134262,347.07867431640625,2679.6224103749264
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.4714285714285714,['y_lead_1'],0.9023272720696456,0,1,42,1.946940541267395,1018.7770385742188,26.62667970801704,5420887.5,456.2933654785156,inf,0.3087995648384094,24606988.0,0.1722412109375,614.4196166992188,2251.827831959119
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,1.414285714285714,"['y_lead_1', 'y_lead_2']",0.5740921195762649,0,2,42,6.791771411895752,2825.750732421875,28.922819207888097,5069398.0,452.0784606933594,inf,0.3033248484134674,24379684.0,0.170512393116951,604.6962890625,2392.1387622919865
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,1,1H,24,0.0,[],0.0,0,0,42,,,,1406148.125,245.852294921875,inf,0.2129869610071182,78918.578125,0.1590708196163177,245.852294921875,0.0401337910443544
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,1.1785714285714286,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.6433551495047093,0,3,42,6.57192850112915,2639.671630859375,29.13035533297807,5913703.0,498.5036010742188,inf,0.2992531657218933,26883302.0,0.1878790259361267,643.8320922851562,1220.9807886250785
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.2357142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9725757776063404,0,3,42,1.5400875806808472,701.3358764648438,29.59203233406879,5472827.0,480.0040893554688,inf,0.3024560809135437,25885662.0,0.1809068322181701,632.751708984375,2891.257936916081
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.0,[],0.0,0,0,43,0.6144383549690247,695.2317504882812,26.00543191586621,8274070.5,559.8905029296875,inf,0.3537982404232025,30193774.0,0.2114637494087219,702.1452026367188,1349.171639249893
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,1.65,"['y_lead_1', 'y_lead_2']",0.5155699714169586,0,2,42,8.118657112121582,3191.988525390625,31.52177970786579,7582297.0,543.869140625,inf,0.3200979232788086,29329776.0,0.2051335126161575,692.449462890625,1071.1344271660782
