input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.0,"['y_lead_1', 'y_lead_2']",0.999999999999639,0,2,42,0.573972225189209,242.0218505859375,13.969283499987796,3284933.0,285.06231689453125,inf,0.2051592469215393,15372838.0,0.1075181812047958,477.9792785644531,1367.8334542920347
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.0,[],0.0,0,0,42,0.9567617177963256,199.8552703857422,15.166380458977072,2998774.0,288.82989501953125,inf,0.2134498953819275,15576020.0,0.1090875118970871,470.9143371582031,1198.4809223748744
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,3,1H,24,0.2357142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9725757776063404,0,3,42,3.731677770614624,625.1184692382812,19.85154720908031,8418202.0,477.7147521972656,inf,0.2516047656536102,460039.28125,0.1980411112308502,498.9839782714844,1443.6134960411582
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.4714285714285714,['y_lead_1'],0.9023272720696456,0,1,42,4.993372917175293,754.9113159179688,14.131807083962483,3053177.5,293.7483825683594,inf,0.2207989692687988,15841263.0,0.1108838766813278,470.9688415527344,1042.8459866670892
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,1.414285714285714,"['y_lead_1', 'y_lead_2']",0.5740921195762649,0,2,42,17.143495559692383,2585.295166015625,14.824540792033076,3179531.0,296.2808837890625,inf,0.2181837558746338,15977836.0,0.1117495596408844,477.4268798828125,1458.1709396671504
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,0.0,[],0.0,0,0,42,,,,2053975.75,279.8421936035156,inf,0.2319792211055755,89829.34375,0.1810629069805145,279.8421936035156,0.0459377497900277
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,1.1785714285714286,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.6433551495047093,0,3,42,15.77220344543457,2458.746337890625,14.372119625099003,3691671.75,315.0567626953125,inf,0.2258164286613464,16990380.0,0.1187404692173004,506.2991638183594,1047.4047518328298
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.2357142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9725757776063404,0,3,42,3.731677770614624,625.1184692382812,14.687816333957016,3418963.5,305.8674621582031,inf,0.2186148911714553,16494820.0,0.1152771636843681,492.7626037597656,1086.0063409998547
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.0,[],0.0,0,0,43,1.0272127389907837,222.3943634033203,13.593257332919164,3173624.0,298.84039306640625,inf,0.2135317474603653,16115866.0,0.1128683537244796,480.9204711914063,767.8581977919675
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,1.65,"['y_lead_1', 'y_lead_2']",0.5155699714169586,0,2,42,19.935096740722656,3001.8671875,14.393479750026016,3453695.5,297.2003479003906,inf,0.2150210589170456,16027420.0,0.1120963618159294,484.6445617675781,1450.8566139580216
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,3,1H,24,0.9428571428571428,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.723871674827299,0,3,42,12.828571319580078,1959.9144287109373,14.173293000087142,14045419.0,650.0719604492188,inf,0.3212722241878509,626019.25,0.2694934010505676,672.4933471679688,1166.4470510419924
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.0,[],0.0,0,0,44,0.9999938011169434,241.0634765625,13.529508125036957,2985170.75,281.46734619140625,inf,0.208483874797821,15178972.0,0.1063067615032196,459.32623291015625,1365.476937667001
