input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,1,M,12,0.9428571428571428,['y_lead_1'],0.7086640441291663,0,1,42,3545.279052734375,8849.7236328125,4.049794916063547,4873661.5,912.1660766601562,inf,0.1652868092060089,327467.625,0.0374171957373619,912.1660766601562,175.01020516594872
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,1.414285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.5542372130565049,0,3,42,7286.673828125,13345.625,5.110396292060614,434873120.0,3301.509765625,inf,0.2421198040246963,28287336.0,0.1186427474021911,3994.029296875,175.42871395894326
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,3,M,12,0.2357142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9708630193516724,0,3,42,1671.12744140625,4731.12060546875,4.022464792011306,19372694.0,1285.3304443359375,inf,0.1707495898008346,1376588.875,0.052968043833971,1441.5301513671875,164.00484295818023
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,0.0,[],0.0,0,0,42,708.5403442382812,3064.1201171875,3.987089791800827,69353536.0,2079.85205078125,inf,0.1992620527744293,17969922.0,0.0735818892717361,2530.40185546875,202.5203447081149
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,1,M,12,0.0,[],0.0,0,0,42,,,,68337856.0,1377.2979736328125,0.1858757436275482,0.165472999215126,495827.3125,0.0532441064715385,1377.2979736328125,0.0198281661141663
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,1.1785714285714286,"['y_lead_1', 'y_lead_2']",0.6253066497162061,0,2,42,5490.53125,10587.3359375,4.392951332964003,313675936.0,2947.9580078125,inf,0.2208330035209655,25328856.0,0.1057387068867683,3597.641357421875,168.9075987089891
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,0.4714285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.8962023683488558,0,3,42,2662.7548828125,5921.86083984375,4.207528790924698,233749392.0,2523.71044921875,inf,0.2176436781883239,21623150.0,0.0906918123364448,3150.6767578125,260.5869274169672
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,0.0,[],0.0,0,0,43,737.2611694335938,4384.73095703125,3.781335625099018,72590600.0,1807.3564453125,inf,0.1925822347402572,15615560.0,0.0639414265751838,2286.699462890625,145.68130249995738
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,0.9428571428571428,['y_lead_1'],0.7086640441291663,0,1,42,3545.279052734375,8849.7236328125,3.859102541115135,51788088.0,2117.58251953125,inf,0.2073282152414322,18245090.0,0.0748096480965614,2580.369384765625,158.8971199579537
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,2,M,12,0.9428571428571428,"['y_lead_1', 'y_lead_2']",0.7086640441291663,0,2,42,4578.953125,8829.9794921875,4.3654854169581085,49520928.0,1580.506591796875,inf,0.1973456740379333,1131642.75,0.0670143738389015,1694.388671875,152.7424646250438
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,0.2357142857142857,['y_lead_1'],0.9708630193516724,0,1,42,1421.414306640625,4256.38427734375,3.581050124950707,63238808.0,2038.484130859375,inf,0.2056127786636352,17563580.0,0.0720152780413627,2518.4814453125,138.07357270806096
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,2,M,12,0.7071428571428571,"['y_lead_1', 'y_lead_2']",0.8020682332784379,0,2,42,3476.541748046875,7045.43505859375,4.286161290947348,36775772.0,1342.263916015625,inf,0.1830366551876068,961061.0625,0.0569127574563026,1433.051025390625,179.7219700841233
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,1.414285714285714,"['y_lead_1', 'y_lead_2']",0.5542372130565049,0,2,42,6466.22607421875,12129.5625,4.345542958937585,323079616.0,2857.45751953125,inf,0.2192585170269012,24551274.0,0.1024925932288169,3456.673583984375,165.66618983307853
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,1,M,12,0.2357142857142857,['y_lead_1'],0.9708630193516724,0,1,42,1421.414306640625,4256.38427734375,3.5921417500358075,9258510.0,991.6607055664062,inf,0.1610521674156189,356006.1875,0.0406780764460563,991.6607055664062,139.63892395794392
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,24,M,12,0.0,[],0.0,0,0,44,690.4567260742188,4308.435546875,3.682926249923185,51975716.0,1897.41455078125,inf,0.1966271102428436,16393662.0,0.0671275407075882,2377.9091796875,212.6015825001523
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,3,M,12,0.0,"['y_lead_1', 'y_lead_2', 'y_lead_3']",1.0,0,3,42,372.8311767578125,3059.973876953125,4.028919499833137,3110842.5,520.4739990234375,inf,0.0808800458908081,557427.625,0.0214485619217157,593.925537109375,172.8243309999816
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/tourism_monthly_dataset.tsf,tourism,73,3,M,12,0.9428571428571428,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.7086640441291663,0,3,42,4972.5244140625,9787.8017578125,4.113765874877572,113483672.0,1861.466796875,inf,0.2143702507019043,1993630.875,0.076710432767868,2080.02685546875,179.2337630840484
