input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0,"['y_lead_1', 'y_lead_2', 'y_lead_3']",1.0,0,3,42,0.0861309692263603,0.3769091069698334,5.360914082964882,1.4269591569900513,0.5715658664703369,inf,0.0592370443046093,3941.5185546875,0.139513611793518,0.9143729209899902,531.5858482499607
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.6,['y_lead_1'],0.519786682090601,0,1,42,2.276319742202759,3.933460712432861,5.757967832963914,2.166761636734009,0.9030485153198242,inf,0.0949052348732948,6227.421875,0.2156805545091629,1.1331020593643188,255.0569930409547
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.2571428571428571,['y_lead_1'],0.8173705894712557,0,1,42,0.967070698738098,1.1286444664001465,5.772113709012047,2.168328046798706,0.8759388327598572,inf,0.0910886153578758,6040.47412109375,0.2092058211565017,1.1079590320587158,519.4174988751765
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0,[],0.0,0,0,46,0.2640180587768554,0.5198030471801758,6.337890583090484,4.100309371948242,1.163260579109192,inf,0.1286315768957138,8021.845703125,0.2790704071521759,1.5724972486495972,514.4423653329723
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.5142857142857142,"['y_lead_1', 'y_lead_2']",0.5787754959386153,0,2,42,2.4564456939697266,2.63010048866272,5.397859041811898,0.9408114552497864,0.6203747987747192,0.0661773011088371,0.0636550039052963,1069.5260009765625,0.1540022939443588,0.6785991787910461,416.35002287477255
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.1714285714285714,"['y_lead_1', 'y_lead_2']",0.9050352330593034,0,2,42,0.7728461623191833,0.989130675792694,6.200402833987027,0.5832790732383728,0.5284180641174316,0.0563531592488288,0.0550153255462646,910.99267578125,0.1311748772859573,0.5848404169082642,420.3210793340113
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.3428571428571428,"['y_lead_1', 'y_lead_2']",0.7287625793743431,0,2,42,1.6037676334381104,1.7670775651931765,5.714830416953191,2.031890630722046,0.8711991906166077,inf,0.0902937874197959,6007.7890625,0.2104279696941375,1.0771852731704712,390.8387252499815
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.0857142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9734762891368408,0,3,42,0.3803517520427704,0.6056170463562012,5.344172540819272,0.2598340809345245,0.3702618479728699,0.0386172905564308,0.0381515882909297,957.4971923828124,0.0917913913726806,0.4280081689357757,458.3301382919308
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0857142857142857,"['y_lead_1', 'y_lead_2']",0.9734762891368408,0,2,42,0.3733678758144378,0.6281047463417053,5.792679958976805,1.7216116189956665,0.7846910357475281,inf,0.0817706882953643,5411.2294921875,0.1895329505205154,1.012553334236145,524.2698082919233
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.3428571428571428,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.7287625793743431,0,3,42,1.7783050537109375,1.9149349927902224,5.099890749901533,0.8996984362602234,0.6499682068824768,0.0706681236624717,0.0671138241887092,1680.81787109375,0.1611332297325134,0.733759880065918,331.5446705829818
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.0,[],0.0,0,0,42,,,,0.9366909861564636,0.5941115617752075,0.0628307163715362,0.0615345798432827,512.1241455078125,0.1400765031576156,0.5941115617752075,0.1597512080334127
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.5142857142857142,['y_lead_1'],0.5787754959386153,0,1,42,1.957323431968689,2.0564770698547363,6.108414958929643,0.8864040374755859,0.6179778575897217,0.0728770568966865,0.0672365427017211,532.6968994140625,0.1575256735086441,0.6179778575897217,253.01894233305936
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.5142857142857142,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.5787754959386153,0,3,42,2.750205039978028,2.869224071502685,5.502225541975349,1.9686176776885984,0.8658527135848999,inf,0.0900766924023628,5970.9208984375,0.2113461345434188,1.0952874422073364,371.7889275420457
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.1714285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9050352330593034,0,3,42,0.8278867602348328,1.0189086198806765,5.302649041870609,1.751396894454956,0.797400712966919,inf,0.0827395543456077,5498.8759765625,0.1946376860141754,1.033617615699768,489.814357874915
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.1714285714285714,['y_lead_1'],0.9050352330593034,0,1,42,0.6605003476142883,0.8502253890037537,6.268573082983494,0.6938101053237915,0.5744641423225403,0.0649294406175613,0.0613019317388534,495.1881103515625,0.1464338153600692,0.5744641423225403,480.9852392501198
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.3428571428571428,['y_lead_1'],0.7287625793743431,0,1,42,1.3162975311279297,1.4546982049942017,5.943503583082929,0.8568516969680786,0.6156665682792664,0.0722473785281181,0.0668508782982826,530.70458984375,0.1569365113973617,0.6156665682792664,258.57349312515
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0857142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9734762891368408,0,3,42,0.3803517520427704,0.6056170463562012,5.2938449590001255,1.505642652511597,0.714601457118988,inf,0.0741570070385932,4927.89111328125,0.1744271665811538,0.9607276916503906,460.5744203331415
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.0857142857142857,['y_lead_1'],0.9734762891368408,0,1,42,0.3569132089614868,0.5864831805229187,5.99430387490429,0.3718370199203491,0.4312218427658081,0.0477410852909088,0.0461736805737018,371.7132263183594,0.1099206209182739,0.4312218427658081,539.7503165830858
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.3428571428571428,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.7287625793743431,0,3,42,1.7783050537109375,1.9149349927902224,5.201220541028306,2.0767409801483154,0.8988926410675049,inf,0.093484953045845,6198.76318359375,0.2194108217954635,1.1429665088653564,339.58310979092494
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.0,"['y_lead_1', 'y_lead_2', 'y_lead_3']",1.0,0,3,42,0.0861309692263603,0.3769091069698334,4.994855541968718,0.0032753178384155,0.0235166177153587,0.0025497337337583,0.0025403490290045,60.81397247314453,0.005829990375787,0.0275539029389619,507.736876500072
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.0857142857142857,"['y_lead_1', 'y_lead_2']",0.9734762891368408,0,2,42,0.3733678758144378,0.6281047463417053,5.49708754196763,0.2988834679126739,0.3994268774986267,0.0428186580538749,0.042207758873701,688.6119384765625,0.0991540253162384,0.4454577267169952,497.059132500086
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.1714285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9050352330593034,0,3,42,0.8278867602348328,1.0189086198806765,5.152015333995223,0.535656213760376,0.5163571834564209,0.054695937782526,0.0532171390950679,1335.2996826171875,0.1280097961425781,0.591238260269165,477.4782432080247
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.3428571428571428,"['y_lead_1', 'y_lead_2']",0.7287625793743431,0,2,42,1.6037676334381104,1.7670775651931765,5.393125500064343,0.8293399214744568,0.5953797101974487,0.0639026463031768,0.0616405308246612,1026.4345703125,0.1477975100278854,0.6538062691688538,377.02886558300816
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.1714285714285714,"['y_lead_1', 'y_lead_2']",0.9050352330593034,0,2,42,0.7728461623191833,0.989130675792694,5.732629042118788,1.877813577651977,0.8274203538894653,inf,0.0858052298426628,5705.890625,0.1998537182807922,1.0487043857574463,424.7422592090443
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.0,['y_lead_1'],1.0,0,1,42,0.1615244597196579,0.459749162197113,5.757435791892931,0.0046523697674274,0.0470589809119701,0.0052682529203593,0.0052197868935763,40.56483840942383,0.0119955707341432,0.0470589809119701,566.0243062919471
